Name,Sq Ft,Price,Location
Prestige Lakeside Habitat,"1,655 - 2,538 sq.ft.",₹ 63 L - 2.88 Cr,Whitefield Bangalore East
Prestige Finsbury Park,"1,224 - 1,562 sq.ft.",₹ 42 L - 1.05 Cr,Bagalur Bangalore North
DSR Parkway,"1,451 - 1,809 sq.ft.",₹ 51 L - 1.37 Cr,Sarjapur  Road Bangalore East
Epitome Elan,"1,575 - 2,050 sq.ft.",₹ 1.11 - 2.19 Cr,JP Nagar Bangalore South
Assetz Canvas and Cove,807.84 - 831 sq.ft.,₹ 33 - 95.57 L,Begur Bangalore South
Adarsh Park Heights,"1,235 - 1,289 sq.ft.",₹ 1.07 - 1.71 Cr,Sarjapur  Road Bangalore East
DS MAX Skyclassic,"1,135 - 1,457 sq.ft.",₹ 45 - 70.61 L,Electronics City Phase 1 Bangalore South
Monarch Aqua,"1,583 - 2,791 sq.ft.",₹ 95 L - 2.39 Cr,KR Puram Bangalore East
Sattva Magnificia,"2,186 - 2,425 sq.ft.",₹ 2.72 - 5.37 Cr,Old Madras Road Bangalore East
Siddartha Solitaire,"1,345 - 1,400 sq.ft.",₹ 62.76 - 77.65 L,Hosa Road Bangalore South
Renaissance Reserva,"1,505 - 1,645 sq.ft.",₹ 1.05 - 1.37 Cr,Yeshwanthpur Bangalore North
SNR Safa,"1,315 - 1,515 sq.ft.",₹ 27.12 - 61.3 L,Sarjapur  Road Bangalore East
SNR Verity,"1,170 - 1,305 sq.ft.",₹ 23.81 - 46.67 L,Sarjapur Bangalore East
SNR Windmill,"1,360 - 1,450 sq.ft.",₹ 47.34 - 62.54 L,Bannerghatta Road Bangalore South
Purva Atmosphere,"1,674 - 2,241 sq.ft.",₹ 1.4 - 3.1 Cr,Thanisandra Main Road Bangalore North
Peace Sapphire,"1,760 - 1,775 sq.ft.",₹ 1.41 - 1.42 Cr,Vijayanagar Bangalore West
Land Capital Calista,"1,200 - 1,300 sq.ft.",₹ 50.28 - 61.09 L,Yelahanka Bangalore North
Brigade Cornerstone Utopia,"1,389 - 1,905 sq.ft.",₹ 75.71 L - 1.71 Cr,Whitefield Bangalore East
L and T Raintree Boulevard,"934 - 1,465 sq.ft.",₹ 2.42 - 5.4 Cr,Hebbal Bangalore North
Munaas Homes,"1,327 sq.ft.",₹ 46.01 - 69.85 L,Banaswadi Bangalore East
Anika Redwood Homes,"1,552 - 2,472.1 sq.ft.",₹ 1.25 - 2.15 Cr,Vijayanagar Bangalore West
Green Edge Royal View,"1,405 - 1,780 sq.ft.",₹ 81.77 L - 1.16 Cr,Whitefield Bangalore East
Purva Meraki,"2,519 - 2,770 sq.ft.",₹ 3.65 - 5.3 Cr,HSR Layout Bangalore South
Godrej Ananda,701 - 703 sq.ft.,₹ 42.4 - 84.45 L,Bagalur Bangalore North
Bollineni Astra,"1,525 - 1,780 sq.ft.",₹ 69.6 L - 1.51 Cr,Yelahanka Bangalore North
Bhoo Varaha,"1,200 sq.ft.",₹ 66 - 88 L,KR Puram Bangalore East
Mahaveer Ranches,"1,364 - 3,270 sq.ft.",₹ 69.66 L - 1.96 Cr,Hosa Road Bangalore South
Brigade Laguna,"1,570 - 2,350 sq.ft.",₹ 96 L - 3.98 Cr,Hebbal Bangalore North
Baldota Thumbprint,"1,750 - 2,400 sq.ft.",₹ 1.42 - 2.63 Cr,Vidyaranyapura Bangalore North
Orchid Piccadilly,"1,056.91 - 1,575 sq.ft.",₹ 82.21 L - 1.95 Cr,Thanisandra Bangalore North
Habulus Sunshine,"1,260 - 1,395 sq.ft.",₹ 29.07 - 46 L,Electronic City Bangalore South
Navami Landmaark,"1,641 - 1,652.1 sq.ft.",₹ 90 L - 1.4 Cr,Rajarajeshwari Nagar Bangalore West
Shapoorji Pallonji Parkwest,"1,124 - 1,521 sq.ft.",₹ 1.4 - 2.45 Cr,Binny Pete Bangalore West
Century Ethos,"2,850 - 3,485 sq.ft.",₹ 3.36 - 7.23 Cr,Hebbal Bangalore North
Shyam Abhinandan Apartment,"1,703 - 2,040 sq.ft.",₹ 76.27 L - 1.2 Cr,JP Nagar Bangalore South
Sanjeevini Srushti,"1,245 - 1,275 sq.ft.",₹ 52 - 68.6 L,Whitefield Bangalore East
Mahaveer Celesse,"1,365 - 1,599 sq.ft.",₹ 70.26 - 95.94 L,Yelahanka Bangalore North
RRL Nature Woods,"1,395 - 1,410 sq.ft.",₹ 28.29 - 69 L,Sarjapur Bangalore East
True Blue Napa Valley,"2,712 sq.ft.",₹ 4.07 - 9.2 Cr,Yelahanka Bangalore North
Puravankara Purva Park Hill,N/A,₹ 1.08 - 1.77 Cr,Kanakapura Road Bangalore South
Opera Tranquil Earth,"1,220 - 1,465 sq.ft.",₹ 48.44 - 79.1 L,9th Phase JP Nagar Bangalore South
Daiwik Sparsh,"2,500 sq.ft. (232 sq.m.) Built-up Area","₹ 1.8 Cr₹ 7,200/sq.ft.",Varthur
Brigade Nanda Heights,"992 - 1,590 sq.ft.",₹ 1.39 - 2.27 Cr,Uttarahalli Bangalore South
Suraksha Heritage Park,"1,375 - 1,580 sq.ft.",₹ 73.85 L - 1.14 Cr,Begur Road Bangalore South
Prestige Waterford,"1,197 - 2,027 sq.ft.",₹ 1.19 - 3.01 Cr,Whitefield Bangalore East
Phoenix One Bangalore West,"1,914 - 2,771 sq.ft.",₹ 3.49 - 7.36 Cr,Rajajinagar Bangalore West
Casagrand Zaiden,"1,028 - 1,500 sq.ft.",₹ 58.67 - 88.01 L,Kanakapura Road Bangalore South
Pavani Mirabilia,"1,335 - 1,585 sq.ft.",₹ 54.86 L - 1.23 Cr,Whitefield Bangalore East
Sattva Divinity,"1,749 sq.ft.",₹ 56.92 L - 1.64 Cr,Mysore Road Bangalore West
Sobha Victoria park phase 1,"1,267 - 1,303 sq.ft.",₹ 1.22 - 1.75 Cr,Hennur Road Bangalore North
Total Environment In That Quiet Earth,"1,453 - 3,430 sq.ft.",₹ 1.4 - 6.24 Cr,Hennur Road Bangalore North
Aqua Forte,"2,500 sq.ft. (232 sq.m.) Super built-up Area","₹ 3 Cr₹ 12,000/sq.ft.",Ulsoor
